type_ind,quotedate_ind,type,quotedate_jul,breaks,rates,quotedate_ymd
pwcf,19300131,pwcf,[10988.],"[10988. 10988. 10988. 10988. 10988. 11037. 11077. 11169. 11353. 11718.
 12448. 13908. 16828. 19748. 29748.]","[0.0390215 0.0390215 0.0390215 0.0390215 0.0390215 0.0390215 0.0390215
 0.0390215 0.0357923 0.0357923 0.0357923 0.0357923 0.0357923 0.0318288
 0.0310965]",19300131
pwcf,19300228,pwcf,[11016.],"[11016. 11016. 11016. 11016. 11016. 11068. 11108. 11200. 11381. 11746.
 12476. 13936. 16856. 19776. 29776.]","[0.0321694 0.0321694 0.0321694 0.0321694 0.0321694 0.0321694 0.0321694
 0.0321694 0.0356379 0.0356379 0.0356379 0.0356379 0.0356379 0.0315949
 0.0313486]",19300228
pwcf,19300331,pwcf,[11047.],"[11047. 11047. 11047. 11047. 11047. 11098. 11138. 11230. 11412. 11777.
 12507. 13967. 16887. 19807. 29807.]","[0.0281298 0.0281298 0.0281298 0.0281298 0.0281298 0.0281298 0.0281298
 0.0281298 0.034805  0.034805  0.034805  0.0348149 0.0348149 0.0348149
 0.0254683]",19300331
pwcf,19300430,pwcf,[11077.],"[11077. 11077. 11077. 11077. 11077. 11129. 11169. 11261. 11442. 11807.
 12537. 13997. 16917. 19837. 29837.]","[0.0305657 0.0305657 0.0305657 0.0305657 0.0305657 0.0305657 0.0305657
 0.0305657 0.0361795 0.0361795 0.0361795 0.0336074 0.0336074 0.0336074
 0.0269991]",19300430
pwcf,19300529,pwcf,[11106.],"[11106. 11106. 11106. 11106. 11106. 11159. 11199. 11291. 11473. 11838.
 12568. 14028. 16948. 19868. 29868.]","[0.0229452 0.0229452 0.0229452 0.0229452 0.0229452 0.0229452 0.0229452
 0.0229452 0.0367022 0.0367022 0.0367022 0.0315075 0.0315075 0.0315075
 0.0298249]",19300529
pwcf,19300630,pwcf,[11138.],"[11138. 11138. 11138. 11138. 11138. 11190. 11230. 11322. 11503. 11868.
 12598. 14058. 16978. 19898. 29898.]","[0.0180609 0.0180609 0.0180609 0.0180609 0.0180609 0.0180609 0.0180609
 0.0180609 0.0332517 0.0332517 0.0330888 0.0330888 0.0330888 0.0330888
 0.0346342]",19300630
pwcf,19300731,pwcf,[11169.],"[11169. 11169. 11169. 11169. 11169. 11221. 11261. 11353. 11534. 11899.
 12629. 14089. 17009. 19929. 29929.]","[0.0153977 0.0153977 0.0153977 0.0153977 0.0153977 0.0153977 0.0153977
 0.0153977 0.0346798 0.0346798 0.0315828 0.0315828 0.0315828 0.0315828
 0.0313678]",19300731
pwcf,19300829,pwcf,[11198.],"[11198. 11198. 11198. 11198. 11198. 11249. 11289. 11381. 11565. 11930.
 12660. 14120. 17040. 19960. 29960.]","[0.0162699 0.0162699 0.0162699 0.0162699 0.0162699 0.0162699 0.0162699
 0.0162699 0.0343547 0.0343547 0.031588  0.031588  0.031588  0.031588
 0.0278722]",19300829
pwcf,19300930,pwcf,[11230.],"[11230. 11230. 11230. 11230. 11230. 11280. 11320. 11412. 11595. 11960.
 12690. 14150. 17070. 19990. 29990.]","[0.0111338 0.0111338 0.0111338 0.0111338 0.0111338 0.0111338 0.0111338
 0.028427  0.028427  0.028427  0.0312734 0.0312734 0.0312734 0.0312734
 0.0289393]",19300930
pwcf,19301031,pwcf,[11261.],"[11261. 11261. 11261. 11261. 11261. 11310. 11350. 11442. 11626. 11991.
 12721. 14181. 17101. 20021. 30021.]","[0.0127396 0.0127396 0.0127396 0.0127396 0.0127396 0.0127396 0.0252027
 0.0252027 0.0252027 0.0252027 0.0316292 0.0316292 0.0316292 0.0316292
 0.0276755]",19301031
