type_ind,quotedate_ind,type,quotedate_jul,breaks,rates,quotedate_ymd
pwcf,19870630,pwcf,[31957.],"[31966. 31973. 31980. 31987. 31994. 32009. 32049. 32141. 32323. 32688.
 33418. 34878. 37798. 40718. 50718.]","[0.0563797 0.0476305 0.0502335 0.0434665 0.078368  0.056522  0.0627379
 0.0653489 0.0755582 0.0806588 0.0850962 0.0889883 0.0963657 0.0923322
 0.0395383]",19870630
pwcf,19870731,pwcf,[31988.],"[31994. 32001. 32008. 32015. 32022. 32040. 32080. 32172. 32354. 32719.
 33449. 34909. 37829. 40749. 50749.]","[0.0602306 0.0531151 0.0451638 0.0225741 0.1042872 0.0591773 0.0683984
 0.06721   0.0730851 0.0823372 0.0871637 0.0922831 0.1007175 0.0937028
 0.0525084]",19870731
pwcf,19870831,pwcf,[32019.],"[32029. 32036. 32043. 32050. 32057. 32069. 32109. 32201. 32385. 32750.
 33480. 34940. 37860. 40780. 50780.]","[0.051483  0.067048  0.0544013 0.0593234 0.0587286 0.0785831 0.0661804
 0.0687089 0.0788179 0.0858996 0.0892307 0.0960914 0.1022234 0.0964378
 0.0583018]",19870831
pwcf,19870930,pwcf,[32049.],"[32057. 32064. 32071. 32078. 32085. 32100. 32140. 32232. 32415. 32780.
 33510. 34970. 37890. 40810. 50810.]","[0.0655818 0.0569153 0.0745449 0.06409   0.069293  0.0685796 0.0681512
 0.0788864 0.0853682 0.092967  0.0968492 0.1022196 0.1073199 0.1022942
 0.0651771]",19870930
pwcf,19871030,pwcf,[32079.],"[32085. 32092. 32099. 32107. 32113. 32130. 32170. 32262. 32446. 32811.
 33541. 35001. 37921. 40841. 50841.]","[0.0237684 0.0506582 0.03647   0.0748022 0.0058773 0.067722  0.0594776
 0.0734354 0.0774723 0.0846929 0.090036  0.0970905 0.0977659 0.0955467
 0.0616912]",19871030
pwcf,19871130,pwcf,[32110.],"[32120. 32127. 32134. 32141. 32148. 32161. 32201. 32293. 32476. 32841.
 33571. 35031. 37951. 40871. 50871.]","[0.0329296 0.0337081 0.0600301 0.0164238 0.0581256 0.0566427 0.0696712
 0.0742968 0.0784204 0.0843452 0.0898741 0.0985057 0.1002856 0.0953221
 0.053621 ]",19871130
pwcf,19871231,pwcf,[32141.],"[32148. 32155. 32162. 32169. 32176. 32191. 32231. 32323. 32507. 32872.
 33602. 35062. 37982. 40902. 50902.]","[0.0188487 0.0204938 0.0805818 0.0167366 0.0501469 0.0801042 0.0683166
 0.0719071 0.0805344 0.0833422 0.0877923 0.0953595 0.0983916 0.0895646
 0.0648725]",19871231
pwcf,19880129,pwcf,[32170.],"[32176. 32183. 32190. 32197. 32204. 32222. 32262. 32354. 32538. 32903.
 33633. 35093. 38013. 40933. 50933.]","[ 0.0478287  0.0399673  0.0690253 -0.0221371  0.1354104  0.0638523
  0.0595826  0.0680642  0.0735195  0.076893   0.0805752  0.0896291
  0.0930425  0.0883536  0.0507955]",19880129
pwcf,19880229,pwcf,[32201.],"[32211. 32218. 32225. 32232. 32239. 32253. 32293. 32385. 32566. 32931.
 33661. 35121. 38041. 40961. 50961.]","[0.0483607 0.0636392 0.0572467 0.0421298 0.0582255 0.0619704 0.0611376
 0.0640067 0.0726801 0.0759753 0.0790315 0.0884934 0.0948309 0.0871205
 0.0502624]",19880229
pwcf,19880331,pwcf,[32232.],"[32239. 32246. 32253. 32260. 32267. 32283. 32323. 32415. 32597. 32962.
 33692. 35152. 38072. 40992. 50992.]","[0.0458591 0.0659474 0.0824931 0.0137863 0.0836022 0.0625733 0.0582439
 0.0665671 0.0755019 0.0790074 0.0841151 0.0934015 0.0991839 0.0925599
 0.0518211]",19880331
pwcf,19880429,pwcf,[32261.],"[32267. 32274. 32281. 32288. 32295. 32314. 32354. 32446. 32627. 32992.
 33722. 35182. 38102. 41022. 51022.]","[0.0575138 0.0612644 0.0560432 0.0451415 0.0718841 0.0618726 0.0648984
 0.0698756 0.0784    0.0820227 0.087067  0.0954477 0.1024801 0.0959353
 0.0544988]",19880429
pwcf,19880531,pwcf,[32293.],"[32302. 32309. 32316. 32323. 32330. 32344. 32384. 32476. 32658. 33023.
 33753. 35213. 38133. 41053. 51053.]","[0.0640148 0.0617081 0.0555534 0.0554958 0.0825837 0.0635148 0.0716399
 0.0753507 0.0832858 0.0871689 0.090054  0.0982319 0.1030146 0.100377
 0.052602 ]",19880531
pwcf,19880630,pwcf,[32323.],"[32330. 32337. 32344. 32351. 32358. 32375. 32415. 32507. 32688. 33053.
 33783. 35243. 38163. 41083. 51083.]","[0.0575196 0.0287331 0.0818169 0.0796149 0.0852614 0.063215  0.0712089
 0.0729386 0.0814378 0.0845047 0.0860467 0.0933887 0.0986141 0.0981303
 0.0451054]",19880630
pwcf,19880729,pwcf,[32352.],"[32358. 32365. 32372. 32379. 32386. 32406. 32446. 32538. 32719. 33084.
 33814. 35274. 38194. 41114. 51114.]","[0.0758687 0.061716  0.0453457 0.0454154 0.0976425 0.078415  0.0736041
 0.0775755 0.0856409 0.0885456 0.0883767 0.0962316 0.1011524 0.1030816
 0.0481952]",19880729
pwcf,19880831,pwcf,[32385.],"[32393. 32400. 32407. 32414. 32421. 32434. 32474. 32566. 32750. 33115.
 33845. 35305. 38225. 41145. 51145.]","[0.0611819 0.0538652 0.1251095 0.0617078 0.0674427 0.0776476 0.0772353
 0.0820438 0.0890842 0.0902415 0.0906694 0.0958372 0.0997897 0.1002683
 0.0598611]",19880831
pwcf,19880930,pwcf,[32415.],"[32421. 32428. 32435. 32442. 32449. 32465. 32505. 32597. 32780. 33145.
 33875. 35335. 38255. 41175. 51175.]","[0.0604398 0.0620605 0.0809832 0.0826248 0.073181  0.0770337 0.077382
 0.0817877 0.08595   0.0865925 0.0872088 0.0913042 0.0970528 0.097792
 0.0538729]",19880930
pwcf,19881031,pwcf,[32446.],"[32456. 32463. 32471. 32477. 32484. 32495. 32535. 32627. 32811. 33176.
 33906. 35366. 38286. 41206. 51206.]","[0.0592043 0.068458  0.0969143 0.0468843 0.0791539 0.0824148 0.0797761
 0.0810198 0.0831275 0.0841238 0.0837953 0.0894656 0.0940053 0.0941793
 0.0518316]",19881031
pwcf,19881130,pwcf,[32476.],"[32484. 32491. 32498. 32505. 32512. 32526. 32566. 32658. 32841. 33206.
 33936. 35396. 38316. 41236. 51236.]","[0.0535589 0.0547358 0.1304933 0.0267693 0.085422  0.0969683 0.0880436
 0.0861485 0.0907858 0.0902    0.0892548 0.0924076 0.0952765 0.0944577
 0.0628162]",19881130
pwcf,19881230,pwcf,[32506.],"[32512. 32519. 32526. 32533. 32540. 32556. 32596. 32688. 32872. 33237.
 33967. 35427. 38347. 41267. 51267.]","[0.0273637 0.0195606 0.1332651 0.0450459 0.1075575 0.1028584 0.0917462
 0.0899668 0.0953355 0.0920551 0.0918765 0.0925127 0.0902441 0.0929037
 0.0589716]",19881230
pwcf,19890131,pwcf,[32538.],"[32547. 32554. 32561. 32568. 32575. 32587. 32627. 32719. 32903. 33268.
 33998. 35458. 38378. 41298. 51298.]","[0.083392  0.085484  0.0612823 0.0907329 0.0970995 0.0848433 0.0915411
 0.0895684 0.0936894 0.0912904 0.0908439 0.0895479 0.08847   0.0921393
 0.0528093]",19890131
pwcf,19890228,pwcf,[32566.],"[32575. 32582. 32589. 32596. 32603. 32618. 32658. 32750. 32931. 33296.
 34026. 35486. 38406. 41326. 51326.]","[0.0812765 0.076104  0.0774696 0.0710849 0.0714992 0.1244875 0.0923524
 0.0930351 0.1002147 0.0951391 0.0946858 0.092256  0.0915572 0.0955963
 0.0527251]",19890228
pwcf,19890331,pwcf,[32597.],"[32603. 32610. 32617. 32624. 32631. 32648. 32688. 32780. 32962. 33327.
 34057. 35517. 38437. 41357. 51357.]","[0.0769225 0.0925779 0.1263063 0.0578003 0.0937118 0.0944714 0.0956504
 0.0966021 0.1024624 0.0965866 0.0954638 0.0897381 0.0903338 0.0954747
 0.0552892]",19890331
pwcf,19890428,pwcf,[32625.],"[32631. 32638. 32645. 32652. 32659. 32679. 32719. 32811. 32992. 33357.
 34087. 35547. 38467. 41387. 51387.]","[0.0862211 0.0938537 0.0884229 0.0776568 0.0910397 0.0895836 0.0876837
 0.0913878 0.0963376 0.0917737 0.090439  0.089801  0.0905859 0.0926194
 0.0545572]",19890428
pwcf,19890531,pwcf,[32658.],"[32666. 32673. 32680. 32687. 32694. 32709. 32749. 32841. 33023. 33388.
 34118. 35578. 38498. 41418. 51418.]","[0.0860294 0.0820925 0.0880799 0.0830744 0.1000696 0.0908312 0.0913854
 0.0879179 0.0910909 0.0860713 0.087607  0.0849511 0.0885464 0.0902308
 0.055311 ]",19890531
pwcf,19890630,pwcf,[32688.],"[32694. 32701. 32708. 32715. 32722. 32740. 32780. 32872. 33053. 33418.
 34148. 35608. 38528. 41448. 51448.]","[0.0841036 0.0842303 0.0683568 0.0981591 0.0865844 0.0817183 0.0834461
 0.0797711 0.0848157 0.0780397 0.0813695 0.0823298 0.0833969 0.0822507
 0.0522798]",19890630
pwcf,19890731,pwcf,[32719.],"[32729. 32736. 32743. 32750. 32757. 32771. 32811. 32903. 33084. 33449.
 34179. 35639. 38559. 41479. 51479.]","[0.0819202 0.0756546 0.0850022 0.076569  0.0849464 0.0819965 0.080794
 0.074338  0.0785297 0.0726234 0.0759951 0.0803215 0.0857484 0.0791112
 0.0607323]",19890731
pwcf,19890831,pwcf,[32750.],"[32757. 32764. 32771. 32778. 32785. 32799. 32839. 32931. 33115. 33480.
 34210. 35670. 38590. 41510. 51510.]","[0.0534506 0.0975924 0.091801  0.0709428 0.083451  0.0875066 0.0825656
 0.0820073 0.0866417 0.0828272 0.0833825 0.0824487 0.0851527 0.0844641
 0.0563276]",19890831
pwcf,19890929,pwcf,[32779.],"[32785. 32792. 32799. 32806. 32813. 32830. 32870. 32962. 33145. 33510.
 34240. 35700. 38620. 41540. 51540.]","[0.067982  0.085313  0.0747425 0.0807057 0.0850244 0.0892834 0.0824698
 0.084649  0.0880893 0.0823726 0.0849703 0.0827357 0.0853431 0.0857824
 0.0525227]",19890929
pwcf,19891031,pwcf,[32811.],"[32820. 32827. 32835. 32841. 32848. 32860. 32900. 32992. 33176. 33541.
 34271. 35731. 38651. 41571. 51571.]","[0.0768414 0.080838  0.0829277 0.0718247 0.0888322 0.0814981 0.0807528
 0.0782923 0.0802547 0.0771314 0.0803127 0.0802652 0.0827836 0.0796432
 0.0606964]",19891031
pwcf,19891130,pwcf,[32841.],"[32848. 32855. 32862. 32869. 32876. 32891. 32931. 33023. 33206. 33571.
 34301. 35761. 38681. 41601. 51601.]","[ 0.0670437  0.0956984  0.0856511 -0.0103619  0.1243307  0.0865628
  0.0827669  0.0766177  0.0780878  0.0768438  0.0792739  0.0796122
  0.0842812  0.0789844  0.0578467]",19891130
pwcf,19891229,pwcf,[32870.],"[32876. 32883. 32890. 32897. 32904. 32921. 32961. 33053. 33237. 33602.
 34332. 35792. 38712. 41632. 51632.]","[0.0527694 0.0503039 0.0703758 0.063232  0.0800572 0.1056162 0.0824236
 0.0776638 0.0797678 0.0788595 0.0798505 0.081263  0.0847179 0.0788506
 0.0581405]",19891229
pwcf,19900131,pwcf,[32903.],"[32911. 32918. 32925. 32932. 32939. 32952. 32992. 33084. 33268. 33633.
 34363. 35823. 38743. 41663. 51663.]","[0.0745147 0.0748548 0.0705299 0.0722546 0.0980017 0.0804403 0.084331
 0.0803469 0.0836033 0.0842665 0.085137  0.0851061 0.0914012 0.0839637
 0.0532145]",19900131
pwcf,19900228,pwcf,[32931.],"[32939. 32946. 32953. 32960. 32967. 32983. 33023. 33115. 33296. 33661.
 34391. 35851. 38771. 41691. 51691.]","[0.0808447 0.0832486 0.0791711 0.0533818 0.0959914 0.0902821 0.0792781
 0.0814107 0.0825314 0.0868133 0.0866907 0.0861264 0.0914931 0.0848679
 0.0583752]",19900228
pwcf,19900330,pwcf,[32961.],"[32967. 32974. 32981. 32988. 32995. 33013. 33053. 33145. 33327. 33692.
 34422. 35882. 38802. 41722. 51722.]","[0.0768172 0.0826163 0.0882992 0.0822959 0.0773568 0.0799887 0.0824045
 0.0829411 0.0865174 0.0891509 0.0883349 0.0861594 0.0918696 0.0875273
 0.0551197]",19900330
pwcf,19900430,pwcf,[32992.],"[33002. 33009. 33016. 33023. 33030. 33044. 33084. 33176. 33357. 33722.
 34452. 35912. 38832. 41752. 51752.]","[0.0774826 0.0776227 0.0748369 0.0760638 0.0890365 0.0775552 0.086054
 0.0858802 0.090379  0.0926783 0.0920401 0.0906311 0.0952757 0.0907242
 0.0592711]",19900430
pwcf,19900531,pwcf,[33023.],"[33030. 33037. 33044. 33051. 33058. 33074. 33114. 33206. 33388. 33753.
 34483. 35943. 38863. 41783. 51783.]","[0.075455  0.0715586 0.0962731 0.0190384 0.1124932 0.08644   0.0841465
 0.0810762 0.0840318 0.087202  0.0876002 0.0871815 0.090951  0.0856209
 0.0588048]",19900531
pwcf,19900629,pwcf,[33052.],"[33058. 33065. 33072. 33079. 33086. 33105. 33145. 33237. 33418. 33783.
 34513. 35973. 38893. 41813. 51813.]","[0.071448  0.0774134 0.0802499 0.0682736 0.0912339 0.0805365 0.0837747
 0.0793045 0.0820247 0.0836933 0.0857805 0.0858239 0.0894609 0.0832725
 0.0587428]",19900629
pwcf,19900731,pwcf,[33084.],"[33093. 33100. 33107. 33114. 33121. 33136. 33176. 33268. 33449. 33814.
 34544. 36004. 38924. 41844. 51844.]","[0.0770524 0.078632  0.0730712 0.0751988 0.0797191 0.0803077 0.0789201
 0.0756572 0.0792473 0.080411  0.08311   0.086519  0.0913181 0.0820612
 0.0634089]",19900731
pwcf,19900831,pwcf,[33115.],"[33121. 33128. 33135. 33142. 33149. 33164. 33204. 33296. 33480. 33845.
 34575. 36035. 38955. 41875. 51875.]","[0.0670376 0.0751314 0.0924235 0.065512  0.0801958 0.0772509 0.07738
 0.0775849 0.0809703 0.0831714 0.0885839 0.092636  0.1003155 0.0877217
 0.0644347]",19900831
