type_ind,quotedate_ind,type,quotedate_jul,breaks,rates,quotedate_ymd
pwcf,19401231,pwcf,[14975.],"[14975. 14975. 14975. 14975. 14975. 15024. 15064. 15156. 15340. 15705.
 16435. 17895. 20815. 23735. 33735.]","[0.0066669 0.0066669 0.0066669 0.0066669 0.0066669 0.0066669 0.0066669
 0.0066669 0.0066669 0.0066669 0.0066669 0.0066669 0.        0.08
 0.08     ]",19401231
pwcf,19410131,pwcf,[15006.],"[15006. 15006. 15006. 15006. 15006. 15055. 15095. 15187. 15371. 15736.
 16466. 17926. 20846. 23766. 33766.]","[0.0082235 0.0082235 0.0082235 0.0082235 0.0082235 0.0082235 0.0082235
 0.0082235 0.0082235 0.0082235 0.0082235 0.0082235 0.        0.08
 0.08     ]",19410131
pwcf,19410228,pwcf,[15034.],"[15034. 15034. 15034. 15034. 15034. 15086. 15126. 15218. 15399. 15764.
 16494. 17954. 20874. 23794. 33794.]","[0.0083046 0.0083046 0.0083046 0.0083046 0.0083046 0.0083046 0.0083046
 0.0083046 0.0083046 0.0083046 0.0083046 0.0083046 0.        0.08
 0.08     ]",19410228
pwcf,19410331,pwcf,[15065.],"[15102. 15102. 15102. 15102. 15102. 15116. 15156. 15248. 15430. 15795.
 16525. 17985. 20905. 23825. 33825.]","[-0.0005681 -0.0024644 -0.0024644 -0.0024644 -0.0024644 -0.0024644
  0.0059121  0.0059121  0.0059121  0.0059121  0.0059121  0.0356413
  0.         0.08       0.08     ]",19410331
pwcf,19410430,pwcf,[15095.],"[15102. 15109. 15116. 15123. 15130. 15147. 15187. 15279. 15460. 15825.
 16555. 18015. 20935. 23855. 33855.]","[0.0005053 0.0005092 0.0005053 0.0005093 0.0005054 0.0052558 0.0052558
 0.0052558 0.0052558 0.0052558 0.0052558 0.0314171 0.0314171 0.
 0.08     ]",19410430
pwcf,19410531,pwcf,[15126.],"[15137. 15144. 15151. 15158. 15165. 15177. 15217. 15309. 15491. 15856.
 16586. 18046. 20966. 23886. 33886.]","[ 0.0005064  0.0005093  0.0005053  0.0005093  0.0005054  0.0143188
 -0.0391762  0.0068034  0.0068034  0.0068034  0.0068034  0.0313438
  0.0313438  0.         0.08     ]",19410531
pwcf,19410630,pwcf,[15156.],"[15165. 15172. 15179. 15186. 15186. 15208. 15248. 15340. 15521. 15886.
 16616. 18076. 20996. 23916. 33916.]","[0.0005074 0.0005053 0.0005093 0.0005053 0.0045284 0.0045284 0.0045284
 0.0045284 0.0045284 0.0045284 0.0045284 0.0310967 0.0284693 0.
 0.08     ]",19410630
pwcf,19410731,pwcf,[15187.],"[15193. 15200. 15207. 15214. 15221. 15239. 15279. 15371. 15552. 15917.
 16647. 18107. 21027. 23947. 33947.]","[ 0.0007101  0.0007124  0.0007082  0.0007122  0.0011979 -0.0063408
 -0.0063408  0.0052182  0.0052182  0.0052182  0.0052182  0.0278301
  0.028556   0.         0.08     ]",19410731
pwcf,19410830,pwcf,[15217.],"[15228. 15235. 15242. 15249. 15256. 15267. 15307. 15399. 15583. 15948.
 16678. 18138. 21058. 23978. 33978.]","[ 0.0008103  0.0008115  0.000816   0.0012736  0.000911   0.0205862
 -0.0471647  0.0064534  0.0064534  0.0064534  0.0064534  0.0296601
  0.0278999  0.         0.08     ]",19410830
pwcf,19410930,pwcf,[15248.],"[15256. 15263. 15270. 15277. 15284. 15298. 15338. 15430. 15613. 15978.
 16708. 18168. 21088. 24008. 34008.]","[ 0.0005083  0.0005053  0.0005053  0.0005093  0.0005054  0.0074517
 -0.0058143 -0.0058143  0.0068076  0.0068076  0.0068076  0.029648
  0.0272436  0.         0.08     ]",19410930
