ctype,quotedate,0.0833YR,0.25YR,0.5YR,1.0YR,2.0YR,3.0YR,5.0YR,7.0YR,10.0YR,20.0YR,30.0YR,Max,Min
pwcf,19251231.0,3.710051481306483,3.709278742643468,3.674704889307084,3.7631358526899903,3.862851098432702,3.910391835156754,3.9531988814866903,3.969007800365275,3.965721184784056,3.885354420228084,3.716097741561864,3.969007800365275,3.674704889307084
pwcf,19260130.0,3.4309868787907623,3.4309868787907414,3.4309868787907183,3.70041451647526,3.8114356589089673,3.842429458374253,3.869521270220373,3.892047055160353,3.896694994467246,3.810447311440012,3.637779381248235,3.896694994467246,3.4309868787907183
pwcf,19260227.0,3.372996971285712,3.372996971285689,3.372996971285716,3.6540855067036206,3.780907483362301,3.8197398999146897,3.857379905550378,3.891622540324784,3.904100040939476,3.805821047037302,3.624745003701646,3.904100040939476,3.372996971285689
pwcf,19260331.0,3.29952141482584,3.299521414825751,3.2995214148257728,3.579802505259408,3.716371269693824,3.7608225537055264,3.811152857532738,3.866580648276753,3.899396847416553,3.8156728990609663,3.63647161681699,3.899396847416553,3.299521414825751
pwcf,19260430.0,3.0941097714355315,3.0941097714354666,3.094109771435524,3.4715385200491555,3.6018364833638925,3.630008326707975,3.670126537001732,3.740544213315218,3.795032203912472,3.750975674953071,3.588634448484978,3.795032203912472,3.0941097714354666
pwcf,19260528.0,3.2589976945677943,3.258997694567772,3.258997694567736,3.4667112386406598,3.6216349686619536,3.685803321487434,3.744945739360616,3.776057455379733,3.788979530661488,3.73470050438946,3.578809922759404,3.788979530661488,3.258997694567736
pwcf,19260630.0,2.861061082328962,2.861061082329015,3.362167647530286,3.5266390102329,3.602502625831839,3.661228191202533,3.737863263314751,3.7801302566500734,3.798652510260879,3.730723972313911,3.565848192091931,3.798652510260879,2.861061082328962
pwcf,19260731.0,3.133869334763573,3.335955511465786,3.467419323598308,3.5105257960149334,3.5850659601955828,3.660653130060647,3.760065987863691,3.8150443136609495,3.8415674607241073,3.7690201942013246,3.598643328306371,3.8415674607241073,3.133869334763573
pwcf,19260831.0,3.512955561288193,3.5129555612881567,3.512955561288185,3.512955561288184,3.5984732085607893,3.68592422540032,3.7990901587226142,3.8612939011406953,3.888879245692541,3.790855179279907,3.606174091037379,3.888879245692541,3.5129555612881567
pwcf,19260930.0,3.6737332169967942,3.676400917603495,3.7357736257598826,3.755955213553224,3.798874709875235,3.821450467111944,3.843577380767659,3.854352688870277,3.849357484384034,3.7697619194626304,3.60400554531574,3.854352688870277,3.60400554531574
pwcf,19261030.0,3.5862639524497237,3.6527326598495033,3.6918727373807863,3.705177366533456,3.666637857642314,3.692248251642384,3.750682891631516,3.787764680982828,3.8026937326068655,3.726862577310994,3.5589779784281834,3.8026937326068655,3.5589779784281834
pwcf,19261130.0,3.428179550542461,3.428179550542412,3.428179550542413,3.428179550542397,3.558159686402186,3.6359197030674166,3.715694857848848,3.755467499816529,3.766781744453808,3.668228615887041,3.490540685963741,3.766781744453808,3.428179550542397
pwcf,19261231.0,3.16002450414337,3.1600245041433648,3.160024504143357,3.157705532506471,3.3412454327712697,3.449089287875439,3.558281358852743,3.6123599590362017,3.6413760722716098,3.5985231271991323,3.44758144434892,3.6413760722716098,3.157705532506471
pwcf,19270131.0,3.3842438089903597,3.3842438089904,3.384243808990427,3.40442061295301,3.476511075602278,3.516218472977432,3.55568401216546,3.575044959164709,3.5826812350922497,3.549460670030414,3.410450000781688,3.5826812350922497,3.3842438089903597
pwcf,19270228.0,3.351532084284728,3.3515320842847127,3.351532084284745,3.272882373074619,3.370544602650304,3.4378379712070486,3.508798639709675,3.5446443506633765,3.56193947680926,3.5195482660138424,3.3738629688981137,3.56193947680926,3.272882373074619
pwcf,19270331.0,3.447831661868717,3.447831661868705,3.3691834855146507,3.4307394405580407,3.4799500936419987,3.501983142680375,3.522743612069148,3.532633801530017,3.5240147879457826,3.424226335976159,3.2573407111359973,3.532633801530017,3.2573407111359973
pwcf,19270430.0,3.645465264667583,3.5881205791269783,3.550855193032888,3.6015112027664267,3.642403429039936,3.632279095203661,3.602013050708716,3.5819990510503392,3.550493829163554,3.436775741503131,3.2681636361506,3.645465264667583,3.2681636361506
pwcf,19270531.0,3.2549528807596597,3.254952880759675,3.25495288075967,3.330291444738341,3.390523163330045,3.4470604525927717,3.521911030827464,3.5633838020249007,3.5681435051138903,3.4109401275822537,3.2103030716587684,3.5681435051138903,3.2103030716587684
pwcf,19270630.0,3.3486648478964445,3.3486648478963854,3.348664847896373,3.42951410372538,3.494786239320956,3.528013993573029,3.562227946829119,3.579312082818096,3.5723731599318,3.451472608334477,3.27218402755334,3.579312082818096,3.27218402755334
pwcf,19270730.0,3.03669302957204,3.112465893354213,3.163968717644801,3.180923949318627,3.362546985609612,3.467341906228194,3.546584821279576,3.5282411391542654,3.487217395868968,3.4070402690566803,3.2573009034486344,3.546584821279576,3.03669302957204
pwcf,19270831.0,3.0349367697731418,3.03493676977321,3.034936769773165,3.0349367697731813,3.252065024957248,3.379995853918857,3.481482627359788,3.4705192682253174,3.4337724929750477,3.361060930463345,3.2261872337764883,3.481482627359788,3.0349367697731418
pwcf,19270930.0,2.682996836541097,2.6973122693311726,3.3461643414097555,3.5639158373602307,3.546860075307727,3.5090498111301174,3.4629945069703303,3.4382584723430503,3.417540393426842,3.378667965742826,3.2143024572696346,3.5639158373602307,2.682996836541097
pwcf,19271031.0,2.734170618231196,2.963914332346889,3.0992855010688043,3.1455225296802523,3.31266361661725,3.405284536843588,3.4975215178196404,3.542767636664041,3.5456605991889454,3.3745845265345964,3.189448078413417,3.5456605991889454,2.734170618231196
pwcf,19271130.0,3.249363446410562,3.249363446410541,3.249363446410495,3.2216241053933303,3.346775680232502,3.4239532905389147,3.4714813940665805,3.426544992953145,3.359010643927092,3.25479663895758,3.1428870315020183,3.4714813940665805,3.1428870315020183
pwcf,19271231.0,3.384996332084609,3.38499633208468,3.3849963320846834,3.3430089890680423,3.411817139442148,3.457680749074431,3.474578288253024,3.4158120844852427,3.3376889401023506,3.22217777553195,3.11142147750152,3.474578288253024,3.11142147750152
pwcf,19280131.0,3.3089953932656657,3.3089953932656986,3.308995393265717,3.730166810529154,3.668367914464796,3.578256571549663,3.472004139612765,3.415674857463584,3.3687524494830487,3.2952828408467845,3.1182993984405,3.730166810529154,3.1182993984405
pwcf,19280229.0,3.027850974127764,3.027850974127809,3.027850974127757,4.004543154786284,3.9597905106518456,3.807917409754075,3.6189117976553087,3.5166119466970964,3.430618545135248,3.297192992749704,3.072961765361228,4.004543154786284,3.027850974127757
pwcf,19280331.0,3.2930159342286998,3.293015934228707,3.293015934228784,3.417224888241556,3.5171079085124424,3.559939575962401,3.563196568136177,3.486539857433121,3.388988116114434,3.2425760392515,3.116235896754691,3.563196568136177,3.116235896754691
pwcf,19280430.0,3.8698941382852503,3.869894138285183,3.869894138285215,3.804624977369704,3.751652468924607,3.72892107598645,3.6734292940928,3.5714719604840446,3.455090594972176,3.283211746559032,3.13696094202192,3.8698941382852503,3.13696094202192
pwcf,19280531.0,3.992874956009244,3.9928749560093206,3.9928749560093046,3.913294503837296,3.849338683472856,3.82192400156572,3.761147220574349,3.65433655517575,3.532990254196429,3.3606058383523227,3.231892895448133,3.9928749560093206,3.231892895448133
pwcf,19280630.0,4.000769633031117,4.000769633031149,4.147927639456063,4.139498404109618,4.014211714672023,3.9418489187407486,3.8323529663820617,3.699422229734088,3.556105314804665,3.3566324117658226,3.222769992080681,4.147927639456063,3.222769992080681
pwcf,19280731.0,4.097825679631587,4.383256229171647,4.569000108661129,4.423919027568048,4.280416583702876,4.214804046649299,4.1121035913787205,3.973133233357788,3.8205589640355497,3.5842079663899957,3.370517296872358,4.569000108661129,3.370517296872358
