ctype,quotedate,0.0833YR,0.25YR,0.5YR,1.0YR,2.0YR,3.0YR,5.0YR,7.0YR,10.0YR,20.0YR,30.0YR,Max,Min
pwcf,19251231.0,3.767628366199737,3.713895920524677,3.641711420583973,3.803680905280011,3.91817234148805,3.959918839920282,3.981470382095136,3.986733125159671,3.934885573446972,3.8314599636646087,3.295614833892621,3.986733125159671,3.295614833892621
pwcf,19260130.0,3.424727109608389,3.414855429533106,3.4001998591779268,3.830052277856376,3.859191743989739,3.8720758206104815,3.8972182825179966,3.922867891083436,3.8694887557040847,3.749996424366976,3.2176751615112487,3.922867891083436,3.2176751615112487
pwcf,19260227.0,3.366592264891114,3.357053001461204,3.3427345718949923,3.789519767856174,3.838137716017497,3.857520529451203,3.8987294047782624,3.9389914243645383,3.878258145858108,3.734818874050777,3.1989968489195464,3.9389914243645383,3.1989968489195464
pwcf,19260331.0,3.292448334550306,3.28332385751676,3.306352310011742,3.716788709535377,3.7855103185548313,3.805039005064998,3.8752405210156224,3.945311507351711,3.894092737319109,3.7490776834256514,3.211911034415153,3.945311507351711,3.211911034415153
pwcf,19260430.0,3.1033465288091198,3.078015099732853,3.117586235598631,3.658225730430213,3.6588746129100738,3.655879836542257,3.742853049397156,3.844565806820637,3.818805836584956,3.705127032250114,3.1780829552437684,3.844565806820637,3.078015099732853
pwcf,19260528.0,3.2698505863580007,3.242692477523208,3.2837353259241,3.568402736996933,3.708750906013562,3.751992344291645,3.792623482038653,3.8157688450920015,3.7799259124053473,3.6941819115129246,3.17381143746859,3.8157688450920015,3.17381143746859
pwcf,19260630.0,2.852225141892372,2.8772694042372944,3.387694904159813,3.606650272489196,3.6414735785262304,3.730834762771376,3.8021786850402832,3.834074754714144,3.7887601248174194,3.6792270789529695,3.154583205818702,3.834074754714144,2.852225141892372
pwcf,19260731.0,3.178578082773151,3.3755238162335166,3.493752547441838,3.529884401124221,3.6331381998326737,3.750230387677692,3.843681604901392,3.88503695192844,3.835653901187912,3.712110533621906,3.182110103172536,3.88503695192844,3.178578082773151
pwcf,19260831.0,3.546414486319232,3.5359444561949447,3.4814267428437686,3.5102768778552287,3.6569650773871984,3.7884635926334833,3.893393846551337,3.9396956084298456,3.8743611628781496,3.715710118540414,3.1784549665823727,3.9396956084298456,3.1784549665823727
pwcf,19260930.0,3.730455875251852,3.721647500980744,3.722870377951265,3.7632278283529352,3.827829159470408,3.845872693591578,3.8602910103405774,3.867885082648696,3.818805328398129,3.716910229957043,3.190474518306938,3.867885082648696,3.190474518306938
pwcf,19261030.0,3.620807097504,3.697574567098748,3.658537742246506,3.70909333847456,3.642604939642336,3.7323485604231017,3.803962073921204,3.835991844605084,3.78728039898419,3.6706371081058826,3.1455404625445182,3.835991844605084,3.1455404625445182
pwcf,19261130.0,3.4792789799307053,3.412049428734905,3.4163476080611628,3.425732725970039,3.64578723005844,3.7194649710444896,3.778322024274626,3.804905140604795,3.740955257987296,3.597346907731818,3.072627788317245,3.804905140604795,3.072627788317245
pwcf,19261231.0,3.2052858030520706,3.1617569063918114,3.131687562199589,3.1541824231800257,3.4642601095545817,3.564088782401135,3.643833801671129,3.679312091994749,3.646781934021994,3.5604299200984717,3.0504448929172363,3.679312091994749,3.0504448929172363
pwcf,19270131.0,3.377897546888469,3.368294143625665,3.353879673660772,3.411748752879123,3.5243645248416744,3.5586219403414234,3.5859982634202328,3.5990469493144763,3.576614635882116,3.524201746932875,3.023656813983523,3.5990469493144763,3.023656813983523
