ctype,quotedate,0.0833YR,0.5YR,1.0YR,2.0YR,3.0YR,5.0YR,7.0YR,10.0YR,20.0YR,30.0YR
pwcf,19260130.0,0.3070478652836605,0.2968630388018312,0.3099630161395472,0.3192177546072594,0.3225911879861209,0.3243324900461086,0.324757681054777,0.3205683796566827,0.3122088925764155,0.2688417832661605
pwcf,19260227.0,0.2606556128782689,0.2588020998860463,0.2912584813441254,0.2934565840256198,0.2944283949644299,0.2963246729062341,0.2982589965260906,0.2942332638509182,0.2852181886852989,0.2450028455003083
pwcf,19260331.0,0.2929245202286878,0.2908627992463053,0.3294397648643254,0.333633395667765,0.3353050659888446,0.3388586889565337,0.3423300883273361,0.3370934361119237,0.3247204517586421,0.2784371281500331
pwcf,19260430.0,0.2685852278177192,0.2697117279518268,0.3029363190762968,0.3084938253270053,0.3100728215004622,0.3157479361914461,0.3214108704741703,0.3172716776654871,0.3055477186746147,0.2620588285504155
pwcf,19260528.0,0.2363540122428009,0.2374314548395428,0.2782915273120911,0.2783405128898852,0.2781144294762061,0.2846791163932494,0.292353326246686,0.2904100476025739,0.2818318702591638,0.2420082057698058
pwcf,19260630.0,0.2934687484145382,0.2947066296541401,0.3200706357261662,0.3325650326531981,0.3364131500205758,0.3400283633305578,0.3420874909451976,0.3388986424429863,0.3312683662929583,0.2849045687305152
pwcf,19260731.0,0.2406571734593798,0.2855239786142549,0.3038419186742747,0.3067537501797668,0.3142240017237174,0.3201861266902917,0.3228510819909935,0.3190648862274159,0.3099101296703654,0.2660037078410004
pwcf,19260831.0,0.268013845408821,0.2943988694329658,0.29742150158647,0.3060568057932311,0.3158450420982284,0.3236536781292098,0.3271083169334776,0.3229830125985877,0.3126589534572899,0.2683097188819205
pwcf,19260930.0,0.2891514208219758,0.2838907523662559,0.2862263044031587,0.2980971151115508,0.3087326210573726,0.3172151915096233,0.3209570697224162,0.3156768586782821,0.3028490810960571,0.259347056003878
pwcf,19261030.0,0.3040417055266919,0.3034282058799187,0.3066920152890784,0.3119153644885575,0.313374029650193,0.3145395494820402,0.3151533966236464,0.3111858245694376,0.3029461477973783,0.26032134047278
