quote_date,0-35 days,36-50 days,50days-6months,6mons-1year,1YR-3yr,3YR-5YR,5YR-7YR,7YR-10YR,10YR-15YR,15YR-20YR,20YR and beyond,Row_Total,%_Callable,%_Call15+
1940-12-31,0,0,0,0,0,1,0,0,0,0,0,1,,
1941-01-31,0,0,0,0,0,1,0,0,0,0,0,1,,
1941-02-28,0,0,0,0,0,2,0,0,0,0,0,2,,
1941-03-31,0,2,1,0,1,2,0,1,0,0,0,7,0.14285714285714285,
1941-04-30,5,0,0,0,1,2,0,1,1,0,0,10,0.2,
1941-05-31,5,2,2,0,1,2,0,1,1,0,0,14,0.14285714285714285,
1941-06-30,4,0,0,0,1,2,0,1,1,1,0,10,0.3,1.0
1941-07-31,5,2,1,0,1,2,0,1,1,1,0,14,0.21428571428571427,1.0
1941-08-30,5,2,2,0,1,2,0,1,1,1,0,15,0.2,1.0
1941-09-30,4,3,6,0,2,1,0,1,1,1,0,19,0.15789473684210525,1.0
1941-10-31,5,2,6,0,2,1,0,1,1,1,1,20,0.2,1.0
1941-11-29,5,2,6,0,2,2,0,1,1,1,1,21,0.19047619047619047,1.0
1941-12-31,5,2,6,0,2,2,0,1,2,1,1,22,0.22727272727272727,1.0
1942-01-31,5,5,3,0,2,2,0,2,2,1,1,23,0.2608695652173913,1.0
1942-02-28,6,1,6,0,2,2,0,2,3,1,1,24,0.2916666666666667,1.0
1942-03-31,3,3,6,1,1,2,0,2,3,1,1,23,0.30434782608695654,1.0
1942-04-30,5,5,3,2,1,2,0,2,3,1,1,25,0.28,1.0
1942-05-29,5,1,7,1,1,2,0,3,3,1,1,25,0.32,1.0
1942-06-30,3,3,7,2,1,3,0,3,3,1,1,27,0.2962962962962963,1.0
1942-07-31,5,3,6,2,1,3,0,4,3,1,1,29,0.3103448275862069,1.0
1942-08-31,4,2,8,2,1,3,0,4,3,1,1,29,0.3103448275862069,1.0
1942-09-30,6,2,8,2,2,3,0,4,3,1,1,32,0.28125,1.0
1942-10-31,4,2,9,1,3,3,0,5,3,1,1,32,0.3125,1.0
1942-11-30,4,2,9,2,2,3,0,5,3,1,1,32,0.3125,1.0
1942-12-31,6,2,8,3,3,2,1,5,3,1,1,35,0.2857142857142857,1.0
1943-01-30,5,3,7,3,4,2,1,5,3,1,1,35,0.2857142857142857,1.0
1943-02-27,6,2,8,3,3,2,1,5,3,1,1,35,0.2857142857142857,1.0
1943-03-31,5,2,7,3,4,1,2,4,4,0,1,33,0.30303030303030304,1.0
1943-04-30,5,2,7,3,5,1,2,4,4,0,1,34,0.29411764705882354,1.0
1943-05-29,4,2,9,4,4,1,2,5,4,0,1,36,0.3055555555555556,1.0
1943-06-30,6,2,8,3,4,2,1,5,4,0,1,36,0.3055555555555556,1.0
1943-07-31,5,2,8,3,5,3,1,5,4,0,1,37,0.2972972972972973,1.0
1943-08-31,4,2,9,3,4,3,1,5,4,0,1,36,0.3055555555555556,1.0
1943-09-30,6,2,8,4,3,3,1,5,4,0,1,37,0.2972972972972973,1.0
1943-10-30,6,2,8,4,3,3,1,6,4,0,1,38,0.3157894736842105,1.0
1943-11-30,4,2,10,4,4,3,1,6,4,0,1,39,0.3076923076923077,1.0
1943-12-31,6,2,8,5,4,2,1,6,4,0,1,39,0.3076923076923077,1.0
1944-01-31,5,2,8,5,5,2,1,6,4,0,1,39,0.3076923076923077,1.0
1944-02-29,5,2,9,5,5,2,1,6,4,0,1,40,0.3,1.0
1944-03-31,6,2,9,5,4,3,1,7,3,0,1,41,0.2926829268292683,1.0
1944-04-29,5,2,10,5,4,3,1,7,3,0,1,41,0.2926829268292683,1.0
1944-05-31,4,3,8,6,3,3,1,7,3,0,1,39,0.3076923076923077,1.0
