quote_date,0-35 days,36-50 days,50days-6months,6mons-1year,1YR-3yr,3YR-5YR,5YR-7YR,7YR-10YR,10YR-15YR,15YR-20YR,20YR and beyond
1930-12-31,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
1931-02-28,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
1931-03-31,0.2803738317757009,0.719626168224299,0.0,0.0,0.0,0,0,0,0,0,0
1931-04-30,0.5,0.0,0.5,0.0,0.0,0,0,0,0,0,0
1931-05-29,0.27472527472527475,0.13736263736263737,0.5879120879120879,0.0,0.0,0,0,0,0,0,0
1931-06-30,0.47674418604651164,0.29069767441860467,0.23255813953488372,0.0,0.0,0,0,0,0,0,0
1931-07-31,0.4699738903394256,0.0,0.5300261096605744,0.0,0.0,0,0,0,0,0,0
1931-08-31,0.19157088122605365,0.09578544061302682,0.7126436781609196,0.0,0.0,0,0,0,0,0,0
1931-09-30,0.4752186588921283,0.3498542274052478,0.1749271137026239,0.0,0.0,0,0,0,0,0,0
1931-11-30,0.19611650485436893,0.10097087378640776,0.7029126213592233,0.0,0.0,0,0,0,0,0,0
1931-12-31,0.5049019607843137,0.0,0.4950980392156863,0.0,0.0,0,0,0,0,0,0
1932-01-30,0.754257907542579,0.0,0.24574209245742093,0.0,0.0,0,0,0,0,0,0
1932-02-29,0.2422062350119904,0.11990407673860912,0.6378896882494005,0.0,0.0,0,0,0,0,0,0
1932-03-31,0.19460500963391136,0.2928709055876686,0.51252408477842,0.0,0.0,0,0,0,0,0,0
1932-04-30,0.5080385852090032,0.0,0.4919614147909968,0.0,0.0,0,0,0,0,0,0
1932-05-31,0.1650485436893204,0.2459546925566343,0.5889967637540453,0.0,0.0,0,0,0,0,0,0
1932-06-30,0.33116883116883117,0.24675324675324675,0.42207792207792205,0.0,0.0,0,0,0,0,0,0
1932-07-30,0.48297213622291024,0.0,0.5170278637770898,0.0,0.0,0,0,0,0,0,0
1932-08-31,0.1545595054095827,0.23338485316846985,0.6120556414219475,0.0,0.0,0,0,0,0,0,0
1932-09-30,0.33547351524879615,0.24077046548956663,0.42375601926163725,0.0,0.0,0,0,0,0,0,0
1932-10-31,0.48527131782945737,0.0,0.5147286821705427,0.0,0.0,0,0,0,0,0,0
1932-11-30,0.1573208722741433,0.235202492211838,0.6074766355140186,0.0,0.0,0,0,0,0,0,0
1932-12-31,0.36037441497659906,0.23400936037441497,0.40561622464898595,0.0,0.0,0,0,0,0,0,0
1933-01-31,0.484375,0.0,0.515625,0.0,0.0,0,0,0,0,0,0
1933-02-28,0.18518518518518517,0.2777777777777778,0.5370370370370371,0.0,0.0,0,0,0,0,0,0
1933-03-31,0.3207810320781032,0.20920502092050208,0.4700139470013947,0.0,0.0,0,0,0,0,0,0
1933-04-29,0.33877995642701525,0.08169934640522876,0.579520697167756,0.0,0.0,0,0,0,0,0,0
1933-05-31,0.38445807770961143,0.15439672801635992,0.4611451942740286,0.0,0.0,0,0,0,0,0,0
1933-06-30,0.41133263378803775,0.15739769150052466,0.43126967471143757,0.0,0.0,0,0,0,0,0,0
1933-07-31,0.3479236812570146,0.08417508417508418,0.5679012345679012,0.0,0.0,0,0,0,0,0,0
1933-08-31,0.36908517350157727,0.15772870662460567,0.47318611987381703,0.0,0.0,0,0,0,0,0,0
1933-09-30,0.4105263157894737,0.15789473684210525,0.43157894736842106,0.0,0.0,0,0,0,0,0,0
1933-10-31,0.32597266035751843,0.18401682439537329,0.4900105152471083,0.0,0.0,0,0,0,0,0,0
1933-11-29,0.36803364879074657,0.1587802313354364,0.47318611987381703,0.0,0.0,0,0,0,0,0,0
1933-12-30,0.3902195608782435,0.1497005988023952,0.4600798403193613,0.0,0.0,0,0,0,0,0,0
1934-01-31,0.3860640301318267,0.09416195856873823,0.519774011299435,0.0,0.0,0,0,0,0,0,0
1934-02-28,0.29193899782135074,0.16339869281045752,0.49019607843137253,0.0,0.0,0,0,0,0,0,0
1934-03-31,0.4367732558139535,0.14534883720930233,0.4178779069767442,0.0,0.0,0,0,0,0,0,0
1934-04-30,0.22430668841761828,0.0,0.7756933115823818,0.0,0.0,0,0,0,0,0,0
1934-05-31,0.15372790161414296,0.09607993850883935,0.7501921598770177,0.0,0.0,0,0,0,0,0,0
1934-06-30,0.24980784012298232,0.11529592621060722,0.6348962336664105,0.0,0.0,0,0,0,0,0,0
1934-07-31,0.21551724137931033,0.07836990595611286,0.7061128526645768,0.0,0.0,0,0,0,0,0,0
1934-08-31,0.14607558139534885,0.07267441860465117,0.78125,0.0,0.0,0,0,0,0,0,0
1934-09-29,0.1724137931034483,0.06896551724137931,0.7586206896551724,0.0,0.0,0,0,0,0,0,0
1934-10-31,0.09523809523809523,0.047619047619047616,0.8571428571428571,0.0,0.0,0,0,0,0,0,0
1934-11-30,0.13043478260869565,0.08695652173913043,0.782608695652174,0.0,0.0,0,0,0,0,0,0
1934-12-31,0.17391304347826086,0.08695652173913043,0.7391304347826086,0.0,0.0,0,0,0,0,0,0
1937-12-31,0.1282051282051282,0.05128205128205128,0.7435897435897436,0.07692307692307693,0.0,0,0,0,0,0,0
1938-01-31,0.10526315789473684,0.2631578947368421,0.631578947368421,0.0,0.0,0,0,0,0,0,0
1938-02-28,0.35135135135135137,0.10810810810810811,0.5405405405405406,0.0,0.0,0,0,0,0,0,0
1938-03-31,0.2857142857142857,0.11428571428571428,0.6,0.0,0.0,0,0,0,0,0,0
1938-04-30,0.3333333333333333,0.36666666666666664,0.3,0.0,0.0,0,0,0,0,0,0
