quote_date,0-35 days,36-50 days,50days-6months,6mons-1year,1YR-3yr,3YR-5YR,5YR-7YR,7YR-10YR,10YR-15YR,15YR-20YR,20YR and beyond
1925-12-31,0.0,0.0,0.05471001960106076,0.05004035512510089,0.21607286982589646,0.0,0.0,0.0,0.3645797301971636,0.17900380491179524,0.13559322033898305
1926-01-30,0.0,0.03551251008878128,0.019197509512279488,0.05004035512510089,0.21607286982589646,0.0,0.0,0.0,0.3645797301971636,0.17900380491179524,0.13559322033898305
1926-02-27,0.03551660516605166,0.0,0.019199723247232472,0.050046125461254615,0.21598247232472326,0.0,0.0,0.0,0.36462177121771217,0.17902444649446494,0.13560885608856088
1926-03-31,0.0,0.0,0.043806734992679355,0.0656515373352855,0.17159590043923864,0.0,0.0,0.0,0.37036603221083453,0.18184480234260614,0.1667349926793558
1926-04-30,0.0,0.019506765860230802,0.024310233729717065,0.06566692050846465,0.1714017925136196,0.0,0.0,0.0,0.3704528147150138,0.18188741139944936,0.16677406127350478
1926-05-28,0.019509051496865663,0.0,0.024313082195793544,0.06567461479875798,0.17130470443494053,0.0,0.0,0.0,0.3704962212197551,0.18190872341672037,0.1667936024371668
1926-06-30,0.0,0.0,0.0521133525456292,0.04010566762728146,0.1707492795389049,0.0,0.0,0.0,0.3796829971181556,0.1864193083573487,0.1709293948126801
1926-07-31,0.0,0.024953400276591906,0.027238289940472612,0.04016595514400818,0.1695027358547291,0.0,0.0,0.0,0.3802537430100415,0.1866995370091997,0.171186338764957
1926-08-31,0.024645122319540923,0.0,0.027363334340078527,0.040350347327091515,0.16611295681063123,0.0,0.0,0.0,0.38199939595288435,0.18755662941709453,0.17197221383267894
1926-09-30,0.0,0.0,0.06799708843867525,0.022989202960087347,0.1643818997937644,0.0,0.0,0.0,0.3835982045371831,0.18834162319543857,0.1726919810748514
1926-10-30,0.0,0.027554744525547445,0.04063260340632603,0.02305352798053528,0.16204379562043797,0.0,0.0,0.0,0.38467153284671535,0.18886861313868614,0.17317518248175182
1926-11-30,0.027603436719273657,0.0,0.04070440558162208,0.023094266041070014,0.1605630369873865,0.0,0.0,0.0,0.38535128876972763,0.1892023642678691,0.173481201633051
1926-12-31,0.0,0.0,0.0650391352963101,0.0363399180022363,0.1360417443160641,0.0,0.0,0.0,0.3928438315318673,0.19288110324263882,0.17685426761088335
1927-01-31,0.0,0.041547456151262596,0.02357258365468342,0.036385122527677574,0.13496703570095783,0.0,0.0,0.0,0.3933325040427914,0.19312103495459634,0.17707426296803086
1927-02-28,0.041573313417973615,0.0,0.023587254169778443,0.03640776699029126,0.1344286781179985,0.0,0.0,0.0,0.39357729648991785,0.19324122479462286,0.17718446601941748
1927-03-31,0.0,0.0,0.04903567376780537,0.042228665069960925,0.1360141182402622,0.08363796798184797,0.0,0.0,0.3979578973906467,0.11168536493129963,0.17944031261817722
1927-04-30,0.0,0.023950960566228512,0.025214863498483318,0.04234074823053589,0.13637512639029323,0.0859453993933266,0.0,0.0,0.39901415571284127,0.10724216380182001,0.17991658240647118
1927-05-31,0.024034498065825353,0.0,0.02530280930940453,0.04248842665990234,0.1365337053712981,0.08624516456338385,0.0,0.0,0.39977170397615575,0.10507958653053459,0.18054410552349548
1927-06-30,0.0,0.0,0.04922418405564473,0.020465489566613163,0.14365971107544143,0.0883493846976993,0.0,0.0,0.42114767255216695,0.12352862493311932,0.15362493311931513
1927-07-30,0.0,0.024697777200051996,0.023137917587417133,0.0198882100610945,0.13960743533082023,0.08585727284544391,0.0,0.0,0.40926816586507214,0.14825165735083842,0.14929156375926167
1927-08-31,0.023626158464952356,0.0,0.02323456467824044,0.019971283122307792,0.14019057564286647,0.0862158987077405,0.0,0.0,0.4109776791541574,0.14586868555018928,0.14991515467954575
1927-09-30,0.0,0.0,0.05783304190143126,0.13911016125898581,0.0,0.12155948448934654,0.0,0.0,0.407810374975714,0.12492714202448028,0.1487597953500421
1927-10-31,0.0,0.0218921032056294,0.03629137346885588,0.13995308835027365,0.0,0.12509773260359655,0.0,0.0,0.4102814698983581,0.11682303883242116,0.14966119364086525
1927-11-30,0.022380603476986612,0.0,0.03710117897821888,0.17118497302337973,0.0,0.12788916272563777,0.0,0.0,0.41943648837674014,0.06900686072070872,0.15300073269832812
1927-12-31,0.0,0.0,0.0655331682174175,0.161322712363612,0.0,0.1285226588125042,0.0,0.0,0.4215141575741348,0.06934868465091372,0.15375861838141777
1928-01-31,0.0,0.038885786093270036,0.029461044401005304,0.12691985478916504,0.0,0.13264451270594807,0.0,0.0,0.439402401563809,0.07232616587545379,0.1603602345713488
1928-02-29,0.034698827651259936,0.0,0.028432825764721736,0.11932354130171136,0.0,0.16891254547904594,0.0,0.0,0.4240668373534564,0.06980191348874815,0.15476350896105645
1928-03-31,0.0,0.0,0.12698733495014822,0.055578011317704124,0.0,0.16888978711937483,0.0,0.0,0.42400970088924816,0.06979250875774724,0.1547426569657774
1928-04-30,0.0,0.0270929287455974,0.09516391221891086,0.05587916553779464,0.0,0.1698049309130317,0.0,0.0,0.42630723381197505,0.07017068545109727,0.15558114332159306
1928-05-31,0.027233115468409588,0.0,0.09048202614379085,0.05616830065359477,0.0,0.1706835511982571,0.0,0.0,0.4285130718954248,0.07053376906318083,0.15638616557734206
1928-06-30,0.0,0.0,0.13125687568756875,0.039397689768976896,0.0,0.16756050605060507,0.0,0.0,0.43275577557755773,0.07123212321232124,0.1577970297029703
